CustomerID,Gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,17,No,Fiber optic,Month-to-month,Credit card (automatic),108.81,1617.08,No
CUST-00002,Male,0,47,Yes,Fiber optic,Month-to-month,Mailed check,88.84,3884.2,Yes
CUST-00003,Male,1,53,No,Fiber optic,One year,Electronic check,25.14,1180.23,No
CUST-00004,Male,1,66,No,No,Month-to-month,Mailed check,69.31,4298.52,Yes
CUST-00005,Female,1,1,Yes,DSL,Two year,Electronic check,53.85,46.02,No
CUST-00006,Female,0,57,Yes,No,Two year,Mailed check,80.96,4075.76,No
CUST-00007,Female,0,58,No,DSL,Month-to-month,Mailed check,84.62,4552.3,No
CUST-00008,Male,0,32,No,DSL,One year,Mailed check,114.64,3545.37,Yes
CUST-00009,Male,0,44,Yes,No,Two year,Electronic check,63.18,2733.8,No
CUST-00010,Female,0,71,Yes,Fiber optic,One year,Credit card (automatic),22.94,1550.36,No
CUST-00011,Female,0,20,Yes,DSL,Two year,Electronic check,76.14,1521.73,No
CUST-00012,Female,1,54,Yes,DSL,Two year,Mailed check,32.82,1652.25,No
CUST-00013,Female,1,9,No,DSL,One year,Credit card (automatic),67.96,540.2,No
CUST-00014,Male,0,25,No,No,Two year,Credit card (automatic),81.12,1921.58,No
CUST-00015,Female,0,55,Yes,Fiber optic,Two year,Electronic check,55.97,2835.71,No
CUST-00016,Male,0,32,No,DSL,One year,Mailed check,67.56,2108.19,No
CUST-00017,Male,0,58,No,No,One year,Credit card (automatic),68.17,3654.93,No
CUST-00018,Male,1,10,No,Fiber optic,Month-to-month,Credit card (automatic),73.57,700.51,No
CUST-00019,Female,0,25,No,Fiber optic,Two year,Mailed check,95.86,2355.77,No
CUST-00020,Male,0,24,Yes,Fiber optic,One year,Electronic check,55.14,1293.04,No
CUST-00021,Male,1,43,Yes,No,Two year,Mailed check,98.95,3991.72,No
CUST-00022,Female,0,57,Yes,No,Month-to-month,Mailed check,92.08,4625.29,Yes
CUST-00023,Female,0,39,No,Fiber optic,Two year,Electronic check,41.39,1433.93,No
CUST-00024,Female,0,2,No,No,One year,Electronic check,72.4,139.95,Yes
CUST-00025,Male,0,27,No,Fiber optic,Two year,Mailed check,87.84,2099.5,No
CUST-00026,Female,0,24,No,Fiber optic,Two year,Bank transfer (automatic),55.9,1148.97,No
CUST-00027,Male,0,61,No,No,One year,Bank transfer (automatic),50.13,2772.64,No
CUST-00028,Female,1,44,Yes,No,Two year,Electronic check,59.43,2564.5,No
CUST-00029,Female,1,15,Yes,Fiber optic,Two year,Bank transfer (automatic),25.08,342.61,No
CUST-00030,Male,0,44,No,Fiber optic,Two year,Electronic check,39.37,1493.04,No
CUST-00031,Male,0,49,Yes,DSL,Two year,Bank transfer (automatic),80.08,3748.74,No
CUST-00032,Female,1,58,Yes,Fiber optic,Two year,Credit card (automatic),52.81,2756.25,No
CUST-00033,Male,0,35,Yes,No,Two year,Mailed check,97.48,2992.49,Yes
CUST-00034,Male,1,52,No,No,One year,Credit card (automatic),57.72,2573.82,No
CUST-00035,Male,0,37,No,Fiber optic,Two year,Electronic check,30.8,1077.96,No
CUST-00036,Male,1,18,Yes,DSL,One year,Electronic check,100.2,1638.66,No
CUST-00037,Male,0,3,Yes,DSL,Month-to-month,Mailed check,80.07,228.96,Yes
CUST-00038,Male,1,43,Yes,Fiber optic,One year,Bank transfer (automatic),103.14,4173.35,No
CUST-00039,Male,1,72,No,Fiber optic,One year,Credit card (automatic),68.51,4887.24,No
CUST-00040,Male,0,57,Yes,DSL,Two year,Mailed check,89.78,4846.76,No
CUST-00041,Female,0,59,Yes,No,One year,Credit card (automatic),68.33,3656.33,No
CUST-00042,Female,0,50,No,Fiber optic,Month-to-month,Bank transfer (automatic),67.94,3125.88,No
CUST-00043,Male,0,17,No,Fiber optic,Two year,Electronic check,23.01,367.98,No
CUST-00044,Male,0,49,No,Fiber optic,Month-to-month,Mailed check,104.05,4675.44,No
CUST-00045,Female,0,70,No,No,One year,Bank transfer (automatic),72.09,4926.08,No
CUST-00046,Male,0,11,Yes,No,One year,Mailed check,118.69,1167.92,No
CUST-00047,Female,0,7,No,DSL,Two year,Bank transfer (automatic),88.7,601.34,No
CUST-00048,Female,0,47,Yes,No,One year,Mailed check,50.02,2119.46,No
CUST-00049,Male,1,59,No,DSL,One year,Bank transfer (automatic),102.72,5299.69,No
CUST-00050,Female,0,16,Yes,DSL,Two year,Mailed check,113.16,1642.67,Yes
CUST-00051,Male,0,67,No,Fiber optic,One year,Credit card (automatic),114.96,7250.94,No
